membership,Balance,Qual_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
1,123867,0,25308,17,0,0,7759
1,129871,0,15776,22,0,0,7752
1,109380,0,7537,16,0,0,7749
1,111157,0,32883,19,0,0,7771
1,49238,0,38037,18,0,0,7801
1,38896,0,48529.60000000001,16,556,1,7771
1,4340,0,32685,5,0,0,7733
1,88443,0,1200,3,1200,3,6837
1,8454,0,498,9,0,0,6821
1,61990,0,1625,6,0,0,6833
1,24093,0,1750,7,0,0,6819
1,35418,0,48529.60000000001,18,900,3,6813
1,40284,0,7719,5,0,0,6827
1,109312.80000000002,0,21422,22,1200,8,6820
1,62553,0,7672,16,700,1,6819
1,48433,0,3500,4,500,1,6807
1,20508,0,22250,8,1250,5,6794
1,2000,0,2000,4,2000,4,6809
1,78629,0,36679,25,0,0,6817
1,143566,0,5000,5,1500,3,6785
2,185549,0,48529.60000000001,39,2950,16,6778
1,16796,0,2875,16,0,0,6773
1,57346,0,5560,23,0,0,6766
2,102062,0,44247,16,0,0,6758
1,22324,0,1375,4,0,0,6753
1,64824,0,20184,13,0,0,6770
1,25076,0,57203,14,0,0,6750
1,8053,0,0,0,0,0,6750
1,35119,0,0,0,0,0,6749
1,28667,0,3861,7,2050,5,6749
1,34327,0,0,0,0,0,6745
1,3734,0,48529.60000000001,18,150,2,6760
2,96627,0,49059,26,2300,9,6738
1,43498,0,0,0,0,0,6759
1,84674,0,46335,14,50,1,6738
1,15098,0,32917,26,550,3,6737
1,181019,0,18415,15,0,0,7714
1,109312.80000000002,0,8550,11,2550,8,7714
2,124198,0,48529.60000000001,23,4833,10,7710
1,56906,0,2015,13,0,0,7707
1,109312.80000000002,0,5422,20,818,2,7700
1,67018,0,23260,25,0,0,7698
1,143967,0,7346,11,0,0,7689
1,109312.80000000002,0,2500,3,1000,2,7718
1,122705,0,24222,15,0,0,7682
1,16583,0,2625,7,0,0,7682
1,77540,0,1000,1,0,0,7683
2,109312.80000000002,0,48529.60000000001,45,2250,10,7668
1,81974,0,37266,18,1050,3,7661
1,47258,0,24768,19,0,0,7659
1,77699,0,42775,13,0,0,7654
2,133954,0,37670,18,1500,3,7654
2,109312.80000000002,0,48529.60000000001,26,2250,10,7652
2,109312.80000000002,0,56308,41,5200,14,7645
1,48333,0,10123,14,0,0,6737
2,142175,0,37461,22,0,0,6732
1,17469,0,0,0,0,0,6730
1,19823,0,1095,3,335,1,6730
1,145074,0,8000,4,0,0,6746
1,101101,0,10850,11,1850,6,6725
1,125948,0,15155,15,0,0,6761
1,109312.80000000002,0,19172,26,7172,23,6723
1,129298,0,29099,15,0,0,6722
2,103302,0,53552,22,700,3,6718
1,160447,0,8578,25,0,0,6716
1,15472,0,3500,14,0,0,6715
1,39628,0,0,0,0,0,6711
1,6112,0,0,0,0,0,6709
1,31769,0,450,2,450,2,6707
2,126787,0,35021,17,0,0,6701
1,41547,0,16857,17,0,0,6697
1,100640,0,7600,8,1600,5,6708
1,18707,0,100,1,0,0,6693
1,50593,0,48529.60000000001,17,1500,2,6689
1,84631,0,20415,17,0,0,6736
1,24868,0,205,5,0,0,6689
1,77097,0,42403,22,1718,4,6683
1,109312.80000000002,0,48529.60000000001,18,2250,6,7640
1,109312.80000000002,0,48529.60000000001,20,500,1,7640
1,87474,0,4581,15,0,0,7634
1,48707,0,37655,14,0,0,7631
1,109312.80000000002,0,52574,21,500,1,7626
1,109312.80000000002,0,19926,12,0,0,7624
1,44182,0,12313,12,0,0,7619
1,109312.80000000002,0,48529.60000000001,21,0,0,7612
1,46823,0,5860,12,0,0,7613
1,69110,0,18500,19,0,0,7598
2,120700,0,55323,17,1500,1,7598
1,152945,0,18604,6,3604,2,7598
1,10302,0,30298,19,0,0,7591
1,80331,0,15489,18,0,0,7634
1,69882,0,180,6,0,0,7582
1,95658,0,5269,18,0,0,7584
2,109312.80000000002,0,48529.60000000001,15,0,0,7582
2,109312.80000000002,0,44615,16,0,0,7577
1,21694,0,45230,20,700,2,7575
1,71767,0,48529.60000000001,13,0,0,7570
1,35820,0,0,0,0,0,7575
1,109312.80000000002,0,23740,6,1000,2,7563
1,149285,0,15656,13,3250,6,7561
2,120941,0,42301,21,0,0,7588
1,109312.80000000002,0,43533,19,900,4,7575
1,106961,0,7357,19,200,2,7572
1,28086,0,7368,12,0,0,7549
1,60230,0,500,1,0,0,7544
1,6663,0,1125,7,750,4,7575
1,48145,0,10735,27,0,0,7540
1,127807,0,17086,16,1500,3,7537
1,32948,0,50,1,50,1,7569
1,8933,0,8860,14,0,0,7533
1,49885,0,23640,17,0,0,7533
1,89999,0,11694,13,0,0,7530
2,109312.80000000002,0,57173,40,3450,12,7523
1,109312.80000000002,0,3250,8,0,0,7521
2,109312.80000000002,0,48529.60000000001,31,0,0,7514
1,72173,0,2954,13,232,1,7509
2,123516,0,48529.60000000001,31,500,2,7507
2,143080,0,44373,38,3928,17,7575
1,109312.80000000002,0,48529.60000000001,24,0,0,7500
1,52738,0,0,0,0,0,7498
1,24523,0,100,1,0,0,7493
1,134601,0,0,0,0,0,7493
1,32742,0,48529.60000000001,26,0,0,7488
1,108341,0,19670,21,0,0,7488
1,8669,0,11397,16,0,0,7486
2,118940,0,36001,17,150,1,7484
1,41385,0,26948,14,0,0,7481
1,28621,0,13878,20,1400,10,7479
1,16230,0,486,2,0,0,7477
2,152881,0,48529.60000000001,18,500,1,7474
1,37348,0,0,0,0,0,7472
1,51468,0,2278,9,0,0,7460
2,95989,0,48529.60000000001,30,1329,4,7518
1,23184,0,3694,12,1150,3,7467
1,27381,0,18009,18,0,0,7524
1,6854,0,0,0,0,0,7467
2,201346,0,48529.60000000001,34,600,4,7463
1,31588,0,2947,8,0,0,7463
1,109312.80000000002,0,4671,14,0,0,7498
1,8298,0,20087,15,0,0,7498
1,10097,0,2700,1,2700,1,7498
1,114356,0,27308,14,0,0,7456
1,1344,0,1134,9,0,0,7498
1,59797,0,7069,4,0,0,7444
1,189053,0,24156,22,0,0,7439
2,143481,0,45891,15,0,0,7437
2,109312.80000000002,0,48529.60000000001,32,3050,7,7467
2,109312.80000000002,0,48529.60000000001,35,550,2,7467
1,75039,0,2750,10,250,1,7435
1,20203,0,750,6,0,0,7467
1,193976,0,10849,14,0,0,7416
1,98224,0,5570,11,0,0,7467
1,117329,0,6448,11,0,0,7416
2,119239,0,36362,15,250,1,7467
1,53715,0,7164,15,300,2,7416
2,153747,0,48529.60000000001,15,0,0,7409
1,133309,0,23987,13,0,0,7415
2,81380,0,56524,22,0,0,7404
1,22074,0,6039,15,0,0,7404
1,24051,0,8764,13,0,0,7395
1,11449,0,9057,13,0,0,7397
1,182317,0,19489,17,273,1,7397
1,46184,0,3125,12,500,1,7388
1,109312.80000000002,0,8471,18,500,1,7406
1,30962,0,48529.60000000001,37,6400,18,7360
1,15525,0,3853,6,0,0,7406
2,163530,0,48529.60000000001,25,0,0,7406
1,2075,0,5002,14,0,0,7374
2,109312.80000000002,0,41186,13,0,0,7369
2,118934,0,48529.60000000001,37,2250,17,7354
1,109312.80000000002,0,48529.60000000001,22,0,0,7348
1,12526,0,56076,19,3850,11,7375
1,176090,0,5300,9,2200,6,7344
1,15221,0,4425,9,0,0,7361
1,92875,0,48529.60000000001,14,0,0,7344
1,88702,0,9620,13,50,1,7406
1,62882,0,1925,8,0,0,7375
1,30015,0,5875,32,0,0,7341
1,87293,0,21584,17,1050,2,7406
1,45225,0,14711,15,0,0,7339
1,96098,0,12500,4,0,0,7339
2,109312.80000000002,0,48529.60000000001,12,0,0,7375
1,109312.80000000002,0,8534,14,2100,9,7375
1,25279,0,14938,26,0,0,7327
1,198137,0,6303,6,500,1,7323
1,109312.80000000002,0,48529.60000000001,18,250,3,7375
1,149733,0,605,3,500,1,7323
1,70730,0,1319,12,0,0,7316
1,164613,0,11095,13,0,0,7375
1,47557,0,10267,18,200,3,7345
1,35065,0,5400,5,1400,3,7311
1,105769,0,23097,16,0,0,7345
1,35900,0,0,0,0,0,7304
1,43088,0,4000,1,0,0,7345
1,58703,0,46473,34,950,4,7296
1,70354,0,48529.60000000001,22,0,0,7290
1,145726,0,19019,15,0,0,7292
2,121639,0,48529.60000000001,7,0,0,7288
1,70676,0,48529.60000000001,15,0,0,7288
1,18263,0,2100,4,1000,2,7285
1,51250,0,0,0,0,0,7283
1,109312.80000000002,0,17108,32,4823,23,7283
1,12895,0,0,0,0,0,7277
1,120073,0,12423,29,0,0,7276
1,2003,0,980,2,0,0,7274
1,22652,0,48529.60000000001,14,0,0,7271
1,168515,0,4600,4,0,0,7269
1,44873,0,38740,18,850,2,7267
1,190542,0,8487,9,0,0,7267
1,156230,0,5300,8,1300,5,7260
1,79211,0,36776,14,0,0,7260
1,98006,0,46349,20,2309,3,7332
1,33982,0,48529.60000000001,17,0,0,7255
1,62998,0,11326,24,0,0,7253
2,137908,0,48529.60000000001,19,0,0,7250
1,45586,0,37459,15,0,0,7246
1,109312.80000000002,0,48529.60000000001,16,1000,2,7243
2,145993,0,48529.60000000001,17,500,1,7229
1,109312.80000000002,0,48529.60000000001,20,0,0,7279
1,12195,0,3875,17,0,0,7229
1,16622,0,0,0,0,0,7229
2,141813,0,39743,14,0,0,7254
1,58139,0,38408,16,150,1,7227
1,109312.80000000002,0,20521,16,0,0,7220
2,149286,0,42141,30,2400,13,7222
1,35945,0,0,0,0,0,7220
1,28218,0,750,4,750,4,7232
1,7061,0,7100,12,0,0,7218
1,109312.80000000002,0,49198,20,0,0,7215
1,109312.80000000002,0,28200,27,0,0,7213
1,125465,0,14750,9,0,0,7206
2,94222,0,52081,24,0,0,7201
1,123370,0,7478,16,0,0,7197
1,109312.80000000002,0,8001,25,3226,15,7326
1,112969,0,7572,7,0,0,7192
1,46430,0,2100,4,500,1,7194
1,179433,0,30476,15,0,0,7187
1,20746,0,37534,17,0,0,7185
1,61455,0,28765,17,0,0,7183
1,109312.80000000002,0,48529.60000000001,20,1750,4,7183
1,179559,0,17819,12,1000,2,7173
1,119977,0,9275,16,1400,4,7226
1,16928,0,1000,1,0,0,7173
1,65316,0,3917,10,0,0,7254
1,109312.80000000002,0,11398,3,398,1,7162
1,52060,0,6500,3,0,0,7162
1,84700,0,13544,17,0,0,7162
2,109312.80000000002,0,32404,20,1000,2,7159
1,20457,0,51399,16,0,0,7193
1,109312.80000000002,0,21666,19,9166,16,7155
1,50325,0,11930,14,0,0,7155
1,109312.80000000002,0,258,2,258,2,7141
1,73849,0,11793,21,0,0,7250
2,109312.80000000002,0,48529.60000000001,26,6078,8,7164
2,138999,0,48529.60000000001,29,600,4,7153
1,65573,0,3875,23,0,0,7130
2,172288,0,48529.60000000001,10,0,0,7130
1,47958,0,0,0,0,0,7130
1,133002,0,15672,21,150,1,7117
1,42363,0,0,0,0,0,7120
2,133370,0,44299,18,0,0,7101
2,109312.80000000002,0,57313,27,1000,2,7101
2,105166,0,37663,22,0,0,7120
1,34956,0,0,0,0,0,7172
1,46963,0,1500,5,0,0,7117
1,55788,0,24831,12,0,0,7314
2,174910,0,48529.60000000001,20,200,1,7110
1,13812,0,15149,39,0,0,7110
1,38718,0,0,0,0,0,7314
1,112501,0,19140,11,0,0,7101
1,54005,0,1500,5,0,0,7099
1,66863,0,36532,9,0,0,7099
1,93045,0,17636,15,0,0,7092
2,197328,0,48529.60000000001,12,0,0,7092
2,151301,0,37772,14,0,0,7092
1,87938,0,11268,2,0,0,7085
1,15283,0,1250,3,0,0,7132
1,105423,0,20802,14,0,0,7078
1,109312.80000000002,0,100,1,100,1,7078
1,13680,0,0,0,0,0,7073
1,41279,0,14462,20,1650,6,7064
1,25313,0,7491,13,0,0,7064
1,148691,0,3000,3,1000,2,7064
2,109312.80000000002,0,40108,15,150,2,7059
1,51088,0,0,0,0,0,7057
1,95305,0,3189,13,0,0,7054
1,22080,0,12200,47,1950,9,7050
1,11660,0,140,1,0,0,7050
2,109312.80000000002,0,38127,14,500,1,7047
1,16200,0,160,1,0,0,7043
1,38227,0,8612,13,0,0,7036
1,80214,0,500,1,500,1,7029
1,53985,0,1000,1,0,0,7029
1,14414,0,0,0,0,0,7024
1,44457,0,225,3,0,0,7026
2,161813,0,48529.60000000001,20,0,0,7026
1,138020,0,6568,15,0,0,7024
1,107707,0,19407,25,2211,12,7024
2,95656,0,48529.60000000001,27,0,0,7019
1,149678,0,0,0,0,0,7022
1,15113,0,10574,19,0,0,7017
1,231,0,29900,24,5300,15,7015
1,22380,0,300,2,200,1,7010
1,146263,0,20853,21,350,1,7001
1,24598,0,0,0,0,0,7040
1,76150,0,36907,17,0,0,6998
2,109312.80000000002,0,48529.60000000001,30,6393,13,6996
1,167670,0,15907,13,0,0,6994
1,86853,0,42293,21,500,1,6980
2,109312.80000000002,0,48529.60000000001,26,1600,6,6980
1,28193,0,48529.60000000001,32,0,0,6980
1,67086,0,18157,16,0,0,6974
1,35969,0,11665,21,0,0,6977
1,53790,0,28717,19,0,0,8296
1,198859,0,17855,14,500,1,8296
1,91939,0,1244,8,0,0,8296
1,88449,0,11402,18,1450,5,8296
1,54842,0,20792,15,0,0,8296
1,11189,0,9044,20,0,0,8296
1,16999,0,140,1,0,0,8296
1,114713,0,7142,18,0,0,8296
1,1612,0,955,9,0,0,8296
1,97763,0,2000,9,0,0,8296
1,15129,0,0,0,0,0,8296
1,15669,0,1205,4,0,0,8296
1,26720,0,913,3,0,0,8296
1,109312.80000000002,0,5471,13,0,0,8296
1,56635,0,1024,8,359,2,8296
1,127297,0,8510,12,0,0,8296
1,8927,0,0,0,0,0,8296
2,109312.80000000002,0,48529.60000000001,32,4485,13,8296
2,145723,0,48529.60000000001,16,0,0,8296
1,6458,0,0,0,0,0,8296
1,109312.80000000002,0,6000,3,0,0,8296
1,5581,0,0,0,0,0,8296
1,10732,0,1296,6,0,0,8296
1,109312.80000000002,0,25395,53,1750,14,8296
1,68963,0,37723,15,0,0,8296
2,109640,0,48529.60000000001,38,5500,17,8296
2,109312.80000000002,0,48529.60000000001,16,200,2,8296
1,58452,0,0,0,0,0,8296
1,109087,0,10462,16,0,0,8296
1,68286,0,22831,13,0,0,8296
1,68464,0,240,3,0,0,8296
1,131960,0,16081,8,0,0,8296
1,199956,0,0,0,0,0,8296
1,109312.80000000002,0,23866,26,7741,15,8296
1,23529,0,500,1,0,0,8296
1,190295,0,3501,15,0,0,8296
1,21083,0,48529.60000000001,16,1000,2,8296
2,117860,0,48529.60000000001,15,0,0,8296
1,118844,0,28731,17,400,2,8289
1,60493,0,9000,1,0,0,8289
2,109312.80000000002,0,48529.60000000001,23,700,2,8289
1,87692,0,2310,6,500,1,8289
1,78028,0,36269,24,0,0,8289
1,109312.80000000002,0,0,0,0,0,8289
1,17575,0,0,0,0,0,8289
1,50431,0,1000,1,0,0,8289
2,153597,0,56567,18,0,0,8289
1,74579,0,4600,11,600,8,8289
1,2494,0,0,0,0,0,8289
1,96031,0,46588,21,0,0,8289
2,109312.80000000002,0,48529.60000000001,28,1450,5,8289
1,50052,0,49383,13,0,0,8289
1,13381,0,1000,8,0,0,8289
1,25123,0,2030,6,0,0,8289
1,132555,0,24775,31,350,1,8289
1,14528,0,6000,7,3000,6,8289
1,24038,0,6290,14,0,0,8289
2,192104,0,39010,53,1750,8,8289
1,106773,0,12900,10,1400,8,8289
1,109312.80000000002,0,22873,13,0,0,8289
1,14732,0,100,1,0,0,8289
1,109312.80000000002,0,23608,16,500,1,8289
1,11431,0,1759,4,759,3,8289
2,175461,0,40997,14,0,0,8289
1,52953,0,500,1,0,0,8289
1,182291,0,24155,22,0,0,8289
2,198317,0,48529.60000000001,16,0,0,8289
1,49053,0,6498,18,950,5,8289
1,22772,0,0,0,0,0,8289
1,34170,0,15476,20,150,1,8289
1,158483,0,9018,11,0,0,8289
1,43285,0,28613,14,0,0,8252
1,52980,0,17078,14,0,0,8237
1,74342,0,4389,12,0,0,8228
1,139849,0,19946,15,0,0,8228
1,26080,0,9872,13,0,0,8228
1,29469,0,2522,4,0,0,8228
1,189252,0,2991,15,0,0,8228
2,109312.80000000002,0,48529.60000000001,34,3000,6,8228
2,109312.80000000002,0,48529.60000000001,26,2600,9,8228
2,109312.80000000002,0,48529.60000000001,17,0,0,8228
1,83590,0,3708,22,0,0,8228
1,82528,0,2100,5,600,4,8228
1,5600,0,125,1,0,0,8228
1,109312.80000000002,0,4100,20,2500,18,8228
1,43954,0,48529.60000000001,13,250,1,8228
1,52005,0,11870,15,100,1,8228
1,45494,0,5021,16,600,2,8228
2,171509,0,40090,55,6381,23,8151
1,109312.80000000002,0,3982,16,0,0,8145
1,153108,0,25802,14,500,1,8137
1,109312.80000000002,0,33047,21,0,0,8146
1,80223,0,21248,26,2050,7,8121
1,38716,0,8253,21,0,0,8114
1,109312.80000000002,0,23046,14,0,0,8107
1,10954,0,2500,1,0,0,8095
1,97099,0,6325,21,1700,5,8085
1,62396,0,1250,3,0,0,8075
1,40645,0,18348,13,0,0,8067
1,82655,0,48529.60000000001,19,700,2,8057
1,84035,0,4240,6,1600,4,8114
1,109312.80000000002,0,3800,19,3300,18,8023
1,86345,0,13415,16,350,2,8009
1,2701,0,5000,10,0,0,8002
1,46874,0,9689,38,500,1,7990
1,10879,0,48529.60000000001,32,3400,12,7981
1,12742,0,0,0,0,0,7966
2,122904,0,37380,21,1300,4,7956
1,10994,0,1250,3,0,0,8007
1,2318,0,8747,14,0,0,7945
1,11070,0,0,0,0,0,7939
1,21921,0,0,0,0,0,7939
2,162521,0,57354,25,0,0,8105
1,109312.80000000002,0,11137,34,4387,12,8105
1,86112,0,35528,22,0,0,8105
1,18328,0,0,0,0,0,6790
2,109312.80000000002,0,48529.60000000001,19,550,2,6679
1,11504,0,100,1,0,0,6675
2,143200,0,48529.60000000001,28,50,1,6667
1,160703,0,32560,12,0,0,6666
1,910,0,5172,13,0,0,6662
1,94105,0,100,1,0,0,6676
1,18422,0,3297,13,0,0,6653
2,109312.80000000002,0,48529.60000000001,29,850,4,6652
1,9800,0,10348,34,3000,25,6651
2,148318,0,51197,22,350,2,6648
1,26149,0,5190,6,0,0,6646
1,76933,0,28075,17,0,0,6646
2,109312.80000000002,0,48529.60000000001,16,0,0,6645
1,22878,0,9039,32,0,0,6641
1,66741,0,48529.60000000001,30,2600,7,6638
2,134060,0,46606,13,0,0,6637
1,3305,0,31465,24,1700,10,6633
1,28930,0,8185,17,0,0,6630
1,109312.80000000002,0,4040,6,450,2,6627
1,58951,0,47994,15,500,1,6625
1,25395,0,2000,1,0,0,6624
1,109248,0,6828,11,0,0,6618
1,43387,0,4942,13,0,0,6613
1,52423,0,26926,13,0,0,6611
1,26858,0,34308,17,900,3,6606
1,5410,0,45890,22,0,0,6603
1,18177,0,12040,12,0,0,6690
1,109312.80000000002,0,2500,1,0,0,6598
1,98472,0,48529.60000000001,45,10250,28,6621
2,86520,0,48529.60000000001,20,1000,2,6592
1,16648,0,625,4,0,0,6588
2,109312.80000000002,0,48529.60000000001,51,3000,6,6584
1,31478,0,18885,18,0,0,6578
1,17445,0,4500,3,500,1,6576
1,49052,0,46718,17,0,0,6575
1,21689,0,0,0,0,0,6570
1,18302,0,2197,10,0,0,6569
1,26220,0,2775,11,0,0,6647
1,59552,0,7551,22,0,0,6473
1,34962,0,252,3,0,0,6208
1,16153,0,180,1,0,0,6491
1,28931,0,6500,4,500,1,6354
1,202636,0,19000,5,0,0,6119
2,153962,0,48529.60000000001,21,0,0,6567
1,63311,0,25048,14,0,0,6634
1,8561,0,2050,8,1300,2,6675
1,109312.80000000002,0,29823,33,6568,16,6561
1,122700,0,18604,13,0,0,6556
1,81419,0,7769,12,350,1,6599
1,13873,0,4833,20,0,0,6519
1,148,0,190,2,0,0,6507
1,178919,0,23387,17,0,0,6555
1,19702,0,3000,1,0,0,6554
1,18820,0,0,0,0,0,6549
1,109312.80000000002,0,500,1,0,0,6549
1,28077,0,735,6,500,1,6575
1,4528,0,290,1,0,0,6565
1,40418,0,12678,12,0,0,6541
1,109312.80000000002,0,22485,25,213,1,6539
1,176849,0,7700,11,950,4,6539
1,71235,0,41004,14,0,0,6535
1,76446,0,48529.60000000001,17,0,0,6550
1,148915,0,23522,16,650,2,6532
1,65034,0,14331,16,800,3,6541
1,35738,0,41264,16,0,0,6526
1,313,0,1600,1,0,0,6525
1,55703,0,0,0,0,0,6520
1,11613,0,2000,1,0,0,6519
1,65672,0,29089,13,0,0,6529
1,84785,0,4570,14,0,0,6514
1,30592,0,2602,7,0,0,6512
2,99293,0,48529.60000000001,23,1000,2,6508
1,51830,0,0,0,0,0,6507
1,20126,0,48529.60000000001,28,800,3,6506
1,3294,0,1330,2,0,0,6498
1,11143,0,2800,6,800,5,6529
1,8250,0,250,2,0,0,6486
2,117670,0,53043,19,550,1,6505
1,49454,0,9548,22,250,1,6501
1,58421,0,1000,1,0,0,6532
1,33443,0,0,0,0,0,6476
1,13886,0,0,0,0,0,6465
1,15349,0,250,2,0,0,6457
1,78712,0,0,0,0,0,6433
1,89742,0,39073,13,0,0,6498
1,31311,0,3961,10,0,0,6494
1,133445,0,3375,13,0,0,6492
1,136161,0,6032,15,0,0,6463
1,9998,0,0,0,0,0,6448
1,37904,0,19052,17,0,0,6487
1,41243,0,27971,7,300,1,6483
1,54011,0,38380,20,5780,4,6487
1,5351,0,100,1,0,0,6450
1,23334,0,0,0,0,0,6441
1,11255,0,0,0,0,0,6428
1,48127,0,41447,28,0,0,6421
2,109312.80000000002,0,57264,12,0,0,6484
2,158895,0,41954,15,0,0,6525
1,34540,0,27882,13,0,0,6494
2,117623,0,48529.60000000001,26,1000,6,6477
1,126409,0,28460,13,0,0,6478
1,112843,0,16137,14,0,0,6472
1,117240,0,1200,3,700,2,6471
1,7216,0,21419,18,0,0,6470
1,26412,0,5086,2,0,0,6552
2,109312.80000000002,0,35098,16,1600,3,6465
1,1846,0,450,1,0,0,6471
1,45830,0,23404,10,0,0,6459
2,179042,0,25078,50,3350,15,6456
1,41487,0,10885,7,0,0,6451
1,39601,0,3733,9,0,0,6450
1,46142,0,14445,13,0,0,6452
2,110277,0,37110,18,1500,3,6445
1,122928,0,12211,14,0,0,6443
1,146599,0,16463,16,1000,2,6444
2,109312.80000000002,0,52908,16,0,0,6444
1,54125,0,48874,17,450,3,6463
1,29861,0,28190,15,0,0,6407
1,126148,0,6273,8,0,0,6435
1,62080,0,19113,32,10650,28,6434
2,175131,0,53495,15,0,0,6431
2,109312.80000000002,0,48529.60000000001,23,1373,7,6429
1,105547,0,24973,26,500,1,6415
1,67615,0,14168,13,0,0,6413
1,33554,0,27410,16,350,1,6428
1,163083,0,3825,9,450,4,6428
1,109312.80000000002,0,26117,15,50,1,6427
1,109312.80000000002,0,48529.60000000001,41,3802,20,6423
1,18111,0,4625,26,0,0,6463
1,41526,0,0,0,0,0,6406
1,38021,0,5538,9,0,0,6407
1,17500,0,0,0,0,0,6400
1,5906,0,280,1,0,0,6395
1,70133,0,7396,16,0,0,6392
1,32010,0,12315,6,650,2,6421
1,82605,0,23049,15,0,0,6417
1,77285,0,48529.60000000001,32,0,0,6417
1,15219,0,0,0,0,0,6427
1,54889,0,13150,4,0,0,6438
1,8910,0,150,1,150,1,6413
1,49891,0,500,1,500,1,6392
1,10484,0,0,0,0,0,6375
1,15496,0,0,0,0,0,6324
1,16714,0,0,0,0,0,6214
1,25835,0,15153,15,0,0,6142
1,3487,0,710,1,0,0,6059
1,109312.80000000002,0,12000,6,0,0,6408
1,155962,0,16510,16,50,1,6406
1,160572,0,8163,18,500,1,6403
1,109312.80000000002,0,5900,4,400,1,6420
1,48410,0,37869,16,500,1,6395
1,33269,0,4675,10,200,1,6396
1,25685,0,185,3,0,0,6382
1,50500,0,4765,14,0,0,6380
1,97486,0,22707,15,0,0,6387
1,109312.80000000002,0,12000,8,1500,3,6378
1,11821,0,10697,10,0,0,6387
1,37039,0,29976,18,0,0,6375
1,28306,0,233,3,0,0,6371
1,109532,0,48529.60000000001,53,7939,26,6372
1,91974,0,19223,18,500,1,6372
1,65823,0,28208,19,300,3,6373
1,104824,0,14582,15,0,0,6366
1,16061,0,2750,11,0,0,6366
1,55237,0,5547,14,0,0,6358
1,10491,0,5025,11,150,1,6357
1,192334,0,33950,21,1450,4,6366
1,45501,0,49656,17,316,1,6375
1,18661,0,0,0,0,0,6352
1,89668,0,29130,14,0,0,6350
1,53327,0,8650,6,650,2,6350
2,133143,0,43643,14,50,1,6385
1,22268,0,23582,15,200,1,6339
1,26556,0,2845,14,720,4,6339
1,9601,0,20467,16,0,0,6338
1,109312.80000000002,0,12154,13,0,0,6337
1,146248,0,2900,4,1400,3,6333
1,9483,0,1000,1,0,0,6340
1,119082,0,4230,17,3600,14,6340
1,109312.80000000002,0,22258,30,650,2,6340
