,Total Revenue,clust,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges
84,25.2,2,0,1,0.0,5,25.2,25.2,0.0,0,0.0
85,1537.39,2,0,13,19.03,24,95.05,1290.0,0.0,0,247.39000000000001
86,99.26,2,0,1,20.06,24,79.2,79.2,0.0,0,20.06
87,3315.4700000000003,0,1,34,2.88,4,94.25,3217.55,0.0,0,97.92
88,493.57000000000005,2,0,4,12.68,10,99.8,442.85,0.0,0,50.72
89,209.39,2,0,2,19.27,18,93.85,170.85,0.0,0,38.54
90,1009.7,2,0,9,30.8,18,84.4,732.5,0.0,0,277.2
91,561.3,2,0,5,42.33,9,75.55,349.65,0.0,0,211.64999999999998
92,3066.91,2,0,22,40.18,8,96.7,2082.95,0.0,100,883.96
93,2535.23,2,0,19,39.97,9,88.2,1775.8,0.0,0,759.43
94,1842.3500000000001,2,0,15,46.38,19,75.65,1146.65,0.0,0,695.7
95,86.04,2,0,1,11.34,20,74.7,74.7,0.0,0,11.34
96,45.8,2,0,1,0.0,26,25.8,25.8,0.0,20,0.0
97,1312.05,2,0,10,41.37,14,95.35,898.35,0.0,0,413.7
98,227.51999999999998,2,0,3,30.14,6,45.0,127.1,0.0,10,90.42
99,1033.8400000000001,2,1,12,6.97,19,80.45,950.2,0.0,0,83.64
100,178.42000000000002,2,0,2,6.51,11,74.7,165.4,0.0,0,13.02
101,148.4,2,0,1,49.6,20,88.8,88.8,0.0,10,49.6
102,1188.4599999999998,2,1,13,1.47,5,89.05,1169.35,0.0,0,19.11
103,3010.51,2,0,23,31.17,23,94.75,2293.6,0.0,0,716.9100000000001
104,2089.3900000000003,2,1,17,36.82,6,85.35,1463.45,0.0,0,625.94
105,1466.4099999999999,2,0,17,40.93,2,45.05,770.6,0.0,0,695.81
106,3941.6099999999997,2,0,42,9.53,17,84.65,3541.35,0.0,0,400.26
107,121.39999999999999,2,0,1,42.3,16,79.1,79.1,0.0,0,42.3
108,89.93,2,0,1,39.78,12,50.15,50.15,0.0,0,39.78
109,104.10999999999999,2,0,1,34.51,15,69.6,69.6,0.0,0,34.51
110,5835.45,0,0,41,27.95,23,113.2,4689.5,0.0,0,1145.95
111,1650.7400000000002,1,0,13,26.11,4,90.5,1201.15,29.84,140,339.43
112,2784.16,1,1,32,5.99,23,85.0,2642.05,49.57,0,191.68
113,4248.3,2,1,32,49.6,10,85.3,2661.1,0.0,0,1587.2
114,2560.8799999999997,2,1,57,0.0,3,44.85,2572.95,12.07,0,0.0
115,60.38,2,0,1,15.28,14,45.1,45.1,0.0,0,15.28
116,43.3,2,0,1,0.0,26,43.3,43.3,0.0,0,0.0
117,3242.4500000000003,2,0,38,26.1,27,57.15,2250.65,0.0,0,991.8000000000001
118,4212.65,0,1,35,15.98,22,100.5,3653.35,0.0,0,559.3000000000001
119,60.34,2,0,1,15.24,14,45.1,45.1,0.0,0,15.24
120,1667.0,2,1,30,4.65,29,50.4,1527.5,0.0,0,139.5
121,439.75,2,0,5,12.27,20,78.95,378.4,0.0,0,61.349999999999994
122,123.72,2,0,1,30.17,6,93.55,93.55,0.0,0,30.17
123,9151.29,0,1,58,49.38,19,108.85,6287.25,0.0,0,2864.04
124,1630.3100000000002,2,0,16,17.51,7,84.75,1350.15,0.0,0,280.16
125,102.45,2,0,1,22.5,27,69.95,69.95,0.0,10,22.5
126,577.41,1,1,5,47.28,11,81.0,371.65,40.64,10,236.4
127,2907.77,1,0,21,42.27,7,96.8,2030.3,10.2,0,887.6700000000001
128,5969.389999999999,0,0,43,31.83,10,108.15,4600.7,0.0,0,1368.6899999999998
129,3992.8,1,1,32,33.74,6,93.2,2931.0,17.88,0,1079.68
130,88.75,2,0,1,18.2,13,70.55,70.55,0.0,0,18.2
131,3754.22,1,1,29,25.78,28,98.5,3004.15,37.55,40,747.62
132,1597.66,1,1,13,31.7,6,95.25,1233.65,48.09,0,412.09999999999997
133,557.88,1,1,7,8.92,17,74.4,527.9,32.46,0,62.44
134,222.39,2,0,2,21.57,28,88.55,179.25,0.0,0,43.14
135,134.91,2,0,1,43.61,2,91.3,91.3,0.0,0,43.61
136,559.67,1,1,7,16.05,22,70.1,467.55,20.23,0,112.35000000000001
137,8259.33,0,1,57,49.91,21,95.25,5427.05,12.59,0,2844.87
138,118.15,2,4,1,17.35,23,100.8,100.8,0.0,0,17.35
139,1251.25,2,2,17,1.05,8,76.45,1233.4,0.0,0,17.85
140,276.09,2,0,3,18.38,20,86.85,220.95,0.0,0,55.14
141,8726.91,0,1,66,28.86,25,99.5,6822.15,0.0,0,1904.76
142,10690.92,0,1,69,48.88,4,108.4,7318.2,0.0,0,3372.7200000000003
143,2030.25,2,2,15,44.13,3,83.05,1258.3,0.0,110,661.95
144,7447.129999999999,0,0,56,34.58,4,104.75,5510.65,0.0,0,1936.48
145,2417.9,2,0,21,21.15,9,94.25,1973.75,0.0,0,444.15
146,118.12,2,0,1,47.97,8,70.15,70.15,0.0,0,47.97
147,3774.19,2,3,32,7.92,3,106.35,3520.75,0.0,0,253.44
148,5620.45,0,1,40,49.5,20,94.55,3640.45,0.0,0,1980.0
149,47.5,2,0,2,0.0,6,24.45,47.5,0.0,0,0.0
150,823.52,2,0,7,39.51,13,84.8,546.95,0.0,0,276.57
151,4406.81,2,0,31,39.36,4,99.95,3186.65,0.0,0,1220.16
152,1950.8400000000001,2,0,14,29.96,7,104.85,1531.4,0.0,0,419.44
153,1443.5400000000002,1,0,15,23.53,9,74.2,1133.9,43.31,0,352.95000000000005
154,6202.639999999999,0,0,59,10.78,15,93.85,5574.75,8.13,0,636.02
155,6753.619999999999,3,3,46,49.11,17,100.7,4541.2,46.64,0,2259.06
156,3073.2200000000003,1,0,25,36.36,6,89.7,2187.55,23.33,0,909.0
157,2047.76,1,0,16,32.11,14,96.4,1581.2,47.2,0,513.76
158,190.7,2,0,1,41.2,15,69.5,69.5,0.0,80,41.2
159,4016.19,2,1,36,24.54,5,85.25,3132.75,0.0,0,883.4399999999999
160,3271.65,2,0,45,10.67,17,62.7,2791.5,0.0,0,480.15
161,3813.75,0,0,25,46.34,22,105.95,2655.25,0.0,0,1158.5
162,5544.32,2,0,39,41.93,23,95.65,3759.05,0.0,150,1635.27
163,4397.75,0,1,31,47.95,21,98.9,2911.3,0.0,0,1486.45
164,322.55,2,0,3,30.25,28,76.05,231.8,0.0,0,90.75
165,103.59,2,0,1,33.84,5,69.75,69.75,0.0,0,33.84
166,4294.37,2,0,33,17.24,25,110.45,3655.45,0.0,70,568.92
167,965.8900000000001,2,1,7,42.92,2,99.25,665.45,0.0,0,300.44
168,1790.5700000000002,2,0,19,16.78,15,79.85,1471.75,0.0,0,318.82000000000005
169,799.37,2,2,8,26.99,2,80.45,583.45,0.0,0,215.92
170,1401.9599999999998,2,0,13,7.22,28,100.8,1308.1,0.0,0,93.86
171,868.65,2,0,10,7.51,18,79.25,793.55,0.0,0,75.1
172,706.3,2,0,5,45.72,6,89.5,477.7,0.0,0,228.6
173,124.83,2,0,1,38.78,23,86.05,86.05,0.0,0,38.78
174,329.8,2,0,10,0.0,4,34.7,329.8,0.0,0,0.0
175,4478.16,2,1,53,21.67,6,60.05,3229.65,0.0,100,1148.51
176,1596.17,2,1,16,26.12,8,74.3,1178.25,0.0,0,417.92
177,747.6899999999999,1,0,9,17.56,27,74.55,622.9,33.25,0,158.04
178,4710.14,3,1,32,43.51,22,104.9,3351.55,33.73,0,1392.32
179,121.76,2,1,1,17.36,29,74.4,74.4,0.0,30,17.36
180,679.97,2,0,8,14.89,20,69.7,560.85,0.0,0,119.12
181,1378.7,1,1,12,30.63,27,98.1,1060.2,49.06,0,367.56
182,397.49999999999994,1,1,4,18.91,20,99.6,347.65,25.79,0,75.64
183,8307.76,0,1,70,17.45,20,102.95,7101.5,15.24,0,1221.5
184,99.64,2,0,1,28.64,5,71.0,71.0,0.0,0,28.64
185,4548.91,0,1,47,26.95,26,70.55,3309.25,26.99,0,1266.6499999999999
186,106.55,2,1,1,37.3,8,69.25,69.25,0.0,0,37.3
187,1408.73,1,0,12,28.63,7,83.8,1029.75,44.58,80,343.56
188,2834.3900000000003,1,0,53,0.0,25,54.45,2854.55,20.16,0,0.0
189,5175.38,0,0,41,22.56,15,99.8,4259.3,8.88,0,924.9599999999999
190,330.77,1,0,5,2.27,17,70.25,331.9,12.48,0,11.35
191,7373.82,0,1,69,16.34,4,89.95,6143.15,6.79,110,1127.46
192,1225.94,1,0,14,16.32,11,74.95,1036.75,39.29,0,228.48000000000002
193,3295.68,3,0,32,33.22,9,74.4,2276.95,44.31,0,1063.04
194,3674.85,2,1,50,4.6,24,71.05,3444.85,0.0,0,229.99999999999997
195,78.65,2,0,2,0.0,13,30.4,78.65,0.0,0,0.0
196,2888.76,2,0,23,17.62,29,106.4,2483.5,0.0,0,405.26000000000005
197,198.42999999999998,2,0,2,5.49,25,85.55,187.45,0.0,0,10.98
198,2552.05,2,1,30,6.23,4,79.65,2365.15,0.0,0,186.9
199,42.370000000000005,2,0,1,22.92,0,19.45,19.45,0.0,0,22.92
200,4195.0,2,0,32,48.95,9,85.95,2628.6,0.0,0,1566.4
201,1613.1799999999998,2,0,16,36.83,16,59.4,1023.9,0.0,0,589.28
202,5535.07,0,0,38,47.39,2,99.55,3734.25,0.0,0,1800.82
203,206.17000000000002,2,0,2,12.96,20,95.1,180.25,0.0,0,25.92
204,1490.7,2,1,17,9.5,16,81.5,1329.2,0.0,0,161.5
205,93.7,2,1,3,0.0,20,36.45,93.7,0.0,0,0.0
206,25.05,2,0,1,0.0,21,25.05,25.05,0.0,0,0.0
207,2342.2,2,1,43,0.0,21,55.55,2342.2,0.0,0,0.0
208,1321.65,2,2,10,46.5,4,86.65,856.65,0.0,0,465.0
209,5605.2,0,0,37,41.85,2,106.75,4056.75,0.0,0,1548.45
210,1800.55,2,1,12,48.5,4,101.35,1218.55,0.0,0,582.0
211,4782.55,2,0,35,35.1,29,95.45,3474.05,0.0,80,1228.5
212,115.39999999999999,2,0,1,45.8,10,69.6,69.6,0.0,0,45.8
213,96.82000000000001,2,0,1,18.37,13,78.45,78.45,0.0,0,18.37
214,878.69,2,0,9,12.91,21,84.45,762.5,0.0,0,116.19
215,2715.85,2,0,38,5.75,30,70.15,2497.35,0.0,0,218.5
216,5907.29,0,0,51,19.49,11,97.8,4913.3,0.0,0,993.9899999999999
217,655.2,2,0,5,41.83,25,83.15,446.05,0.0,0,209.14999999999998
218,205.32,2,0,2,23.46,25,75.45,158.4,0.0,0,46.92
219,155.68,2,0,2,25.74,6,54.85,104.2,0.0,0,51.48
220,99.99,2,1,1,4.89,11,95.1,95.1,0.0,0,4.89
221,5970.219999999999,0,1,53,7.94,6,101.9,5549.4,0.0,0,420.82
222,5880.09,0,1,51,22.14,30,93.8,4750.95,0.0,0,1129.14
223,8124.11,0,0,72,6.03,2,104.15,7689.95,0.0,0,434.16
224,472.7,2,0,5,4.59,11,91.4,449.75,0.0,0,22.95
225,103.83999999999999,2,0,1,28.49,18,75.35,75.35,0.0,0,28.49
226,951.95,2,0,11,4.1,5,84.8,906.85,0.0,0,45.099999999999994
227,6516.7,0,1,50,31.56,4,95.05,4888.7,0.0,50,1578.0
228,330.7,2,0,5,18.69,28,50.35,237.25,0.0,0,93.45
229,684.4000000000001,2,0,5,36.36,12,89.8,502.6,0.0,0,181.8
230,1015.3399999999999,2,0,9,10.66,15,99.45,919.4,0.0,0,95.94
231,135.05,2,0,2,9.55,28,70.2,115.95,0.0,0,19.1
232,6368.63,0,2,51,43.58,22,84.2,4146.05,0.0,0,2222.58
233,2833.01,2,0,26,1.26,18,105.75,2710.25,0.0,90,32.76
234,810.7,2,1,18,0.0,12,48.35,810.7,0.0,0,0.0
235,73.78999999999999,2,1,1,24.24,9,49.55,49.55,0.0,0,24.24
236,128.82,2,1,2,6.86,20,50.15,115.1,0.0,0,13.72
237,3821.22,2,1,29,35.38,21,95.9,2745.2,0.0,50,1026.02
238,25.25,2,0,1,0.0,15,25.25,25.25,0.0,0,0.0
239,4926.610000000001,0,1,46,5.36,22,101.0,4680.05,0.0,0,246.56
240,115.9,2,0,1,24.75,22,71.15,71.15,0.0,20,24.75
241,1757.3000000000002,2,0,20,11.82,5,79.15,1520.9,0.0,0,236.4
242,5861.719999999999,0,1,46,48.62,3,80.4,3605.2,0.0,20,2236.52
243,247.13,2,0,2,25.19,14,93.85,196.75,0.0,0,50.38
244,82.02,2,0,1,26.22,22,55.8,55.8,0.0,0,26.22
245,5912.21,0,0,41,42.06,21,98.4,4187.75,0.0,0,1724.46
246,7286.58,0,1,66,30.03,15,79.4,5154.6,0.0,150,1981.98
247,4885.45,0,0,35,39.69,25,101.4,3496.3,0.0,0,1389.1499999999999
248,1083.1,2,0,10,16.88,24,89.8,914.3,0.0,0,168.79999999999998
249,3253.7400000000002,2,0,26,34.69,27,91.25,2351.8,0.0,0,901.9399999999999
250,1548.33,2,0,18,2.36,21,85.45,1505.85,0.0,0,42.48
251,100.11000000000001,2,0,1,28.46,12,71.65,71.65,0.0,0,28.46
252,123.15,2,0,1,48.95,23,74.2,74.2,0.0,0,48.95
253,5882.15,0,8,43,31.25,20,101.0,4388.4,0.0,150,1343.75
254,3018.2,2,3,25,33.63,25,89.05,2177.45,0.0,0,840.7500000000001
255,4034.06,0,1,36,16.61,3,96.5,3436.1,0.0,0,597.96
256,120.44999999999999,2,1,1,49.6,13,70.85,70.85,0.0,0,49.6
257,6381.539999999999,0,1,41,45.04,29,111.95,4534.9,0.0,0,1846.6399999999999
258,85.28999999999999,2,0,1,16.19,12,69.1,69.1,0.0,0,16.19
259,237.47000000000003,2,0,2,43.96,14,78.55,149.55,0.0,0,87.92
260,6303.889999999999,0,0,49,32.36,2,96.2,4718.25,0.0,0,1585.6399999999999
261,507.56,2,0,6,8.91,27,74.4,434.1,0.0,20,53.46
262,796.86,2,1,7,21.43,12,84.55,646.85,0.0,0,150.01
263,2313.3,2,0,20,29.29,15,85.8,1727.5,0.0,0,585.8
264,7181.56,0,0,54,33.49,8,101.5,5373.1,0.0,0,1808.46
265,162.29000000000002,2,0,2,15.32,21,69.6,131.65,0.0,0,30.64
266,1272.95,2,0,30,0.0,7,40.3,1172.95,0.0,100,0.0
267,5997.04,0,1,58,3.18,5,98.7,5812.6,0.0,0,184.44
268,8302.09,0,1,68,21.33,24,100.2,6851.65,0.0,0,1450.4399999999998
269,2585.17,2,1,24,13.38,12,93.55,2264.05,0.0,0,321.12
270,3576.43,2,1,27,39.49,7,95.55,2510.2,0.0,0,1066.23
271,41.85,2,0,2,0.0,11,24.35,41.85,0.0,0,0.0
272,3471.17,2,0,29,20.98,16,98.65,2862.75,0.0,0,608.42
273,397.25,2,1,5,6.66,14,79.9,343.95,0.0,20,33.3
274,3678.57,2,0,28,28.14,10,103.3,2890.65,0.0,0,787.9200000000001
275,2574.22,2,0,24,3.23,26,102.95,2496.7,0.0,0,77.52
276,5206.5,0,7,43,8.75,13,109.55,4830.25,0.0,0,376.25
277,105.69,2,0,2,5.57,24,66.4,94.55,0.0,0,11.14
278,10162.0,0,6,66,49.85,14,100.05,6871.9,0.0,0,3290.1
279,8806.75,0,1,66,27.75,11,105.95,6975.25,0.0,0,1831.5
280,2695.48,2,0,31,15.43,2,73.9,2217.15,0.0,0,478.33
281,3702.4,0,0,37,3.3,2,96.55,3580.3,0.0,0,122.1
282,3135.67,2,0,24,28.98,30,101.25,2440.15,0.0,0,695.52
283,179.97,2,0,2,43.66,25,44.15,92.65,0.0,0,87.32
284,716.65,2,0,8,13.8,6,75.75,606.25,0.0,0,110.4
285,97.81,2,1,1,17.51,21,80.3,80.3,0.0,0,17.51
286,1141.71,2,0,9,43.34,2,80.85,751.65,0.0,0,390.06000000000006
287,6714.970000000001,0,0,49,44.88,15,90.85,4515.85,0.0,0,2199.1200000000003
288,25.1,2,0,1,0.0,9,25.1,25.1,0.0,0,0.0
289,2013.19,2,0,17,30.37,28,89.15,1496.9,0.0,0,516.29
290,269.84,2,0,3,2.98,3,79.9,260.9,0.0,0,8.94
291,4355.65,2,0,30,43.61,8,99.7,2967.35,0.0,80,1308.3
292,5152.99,0,1,41,45.84,18,83.75,3273.55,0.0,0,1879.44
293,3351.2000000000003,2,1,42,2.9,21,74.15,3229.4,0.0,0,121.8
294,8295.69,0,0,72,25.77,6,92.45,6440.25,0.0,0,1855.44
295,1145.28,2,1,11,1.28,14,99.55,1131.2,0.0,0,14.08
296,626.11,2,0,8,5.02,26,81.25,585.95,0.0,0,40.16
297,73.11,2,0,1,22.56,2,50.55,50.55,0.0,0,22.56
298,3128.84,2,0,27,31.17,25,85.25,2287.25,0.0,0,841.59
299,101.42,2,0,1,16.37,7,85.05,85.05,0.0,0,16.37
300,6841.83,0,0,54,45.77,10,79.5,4370.25,0.0,0,2471.5800000000004
301,426.67,2,0,4,26.23,29,74.9,321.75,0.0,0,104.92
302,3572.7,2,0,25,36.5,30,102.8,2660.2,0.0,0,912.5
303,880.51,2,0,9,10.04,13,83.85,790.15,0.0,0,90.35999999999999
304,2925.13,2,0,27,16.94,11,88.3,2467.75,0.0,0,457.38000000000005
305,7711.41,0,1,56,33.81,29,100.65,5688.05,0.0,130,1893.3600000000001
306,6697.3,0,1,66,21.7,3,80.55,5265.1,0.0,0,1432.2
307,1821.45,2,1,24,2.05,22,78.85,1772.25,0.0,0,49.199999999999996
308,971.3,2,1,24,0.0,5,39.1,971.3,0.0,0,0.0
309,8194.65,0,1,65,18.69,30,106.25,6979.8,0.0,0,1214.8500000000001
310,115.85,2,0,1,21.85,29,94.0,94.0,0.0,0,21.85
311,1489.15,2,0,15,4.28,6,89.85,1424.95,0.0,0,64.2
312,1190.83,2,0,8,45.16,15,105.5,829.55,0.0,0,361.28
313,771.9499999999999,2,0,7,32.4,7,73.75,545.15,0.0,0,226.79999999999998
314,516.1,2,0,9,2.45,7,54.55,494.05,0.0,0,22.05
315,3838.7000000000003,2,0,37,26.95,17,76.25,2841.55,0.0,0,997.15
316,211.48,2,0,3,2.26,3,70.4,204.7,0.0,0,6.779999999999999
317,7504.82,0,9,48,43.04,5,117.45,5438.9,0.0,0,2065.92
318,221.9,2,0,8,0.0,4,29.4,221.9,0.0,0,0.0
319,4895.72,0,1,37,46.61,26,85.7,3171.15,0.0,0,1724.57
320,3423.26,2,0,28,9.67,28,106.15,3152.5,0.0,0,270.76
321,4026.58,0,0,36,23.33,23,90.85,3186.7,0.0,0,839.8799999999999
322,350.12,2,1,4,42.13,52,46.0,181.6,0.0,0,168.52
323,784.63,2,0,8,5.21,8,94.45,742.95,0.0,0,41.68
324,5762.7,0,0,50,18.92,11,95.7,4816.7,0.0,0,946.0000000000001
325,8546.71,0,1,61,35.11,17,104.4,6405.0,0.0,0,2141.71
326,1637.4,2,1,40,0.0,3,39.3,1637.4,0.0,0,0.0
327,176.56,2,0,2,41.43,20,44.7,93.7,0.0,0,82.86
328,911.85,2,0,10,6.01,27,85.55,851.75,0.0,0,60.099999999999994
329,1534.0300000000002,2,1,16,9.93,27,85.35,1375.15,0.0,0,158.88
330,258.87,2,0,2,31.91,30,79.6,195.05,0.0,0,63.82
331,2194.2799999999997,2,0,19,28.12,25,90.6,1660.0,0.0,0,534.28
332,741.0,2,0,7,9.7,17,94.7,673.1,0.0,0,67.89999999999999
333,382.77,2,0,3,48.34,20,77.0,237.75,0.0,0,145.02
334,4852.6,0,1,40,19.76,22,99.2,4062.2,0.0,0,790.4000000000001
335,5811.56,0,0,47,36.58,20,85.5,4042.3,0.0,50,1719.26
336,1267.3,2,0,15,7.99,27,75.3,1147.45,0.0,0,119.85000000000001
337,3628.1400000000003,0,3,24,49.76,11,104.25,2433.9,0.0,0,1194.24
338,1398.45,2,0,15,12.08,5,80.2,1217.25,0.0,0,181.2
339,76.88000000000001,2,0,1,7.23,2,69.65,69.65,0.0,0,7.23
340,4161.0,2,1,36,31.65,15,84.1,3021.6,0.0,0,1139.3999999999999
341,3596.86,2,1,34,25.84,15,79.6,2718.3,0.0,0,878.56
342,36.45,2,0,1,0.0,26,36.45,36.45,0.0,0,0.0
343,5716.42,2,1,47,38.31,7,80.35,3825.85,0.0,90,1800.5700000000002
344,933.3,2,1,24,0.0,29,40.65,933.3,0.0,0,0.0
345,5269.0199999999995,0,1,43,13.84,18,107.55,4533.9,0.0,140,595.12
346,1830.11,2,1,16,15.16,7,98.75,1587.55,0.0,0,242.56
347,468.75,2,0,5,30.05,11,69.05,318.5,0.0,0,150.25
348,5152.27,0,0,37,38.06,19,101.1,3744.05,0.0,0,1408.22
349,198.0,2,0,5,0.0,15,45.7,198.0,0.0,0,0.0
350,3272.24,2,1,28,16.43,20,101.3,2812.2,0.0,0,460.03999999999996
351,1145.3,2,1,10,11.12,30,92.5,934.1,0.0,100,111.19999999999999
352,114.06,2,0,1,39.61,16,74.45,74.45,0.0,0,39.61
353,401.4,2,0,10,0.0,20,29.65,291.4,0.0,110,0.0
354,252.12,2,0,3,5.54,16,70.3,235.5,0.0,0,16.62
